date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:01	18035/18035	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2005:28:38%20GMT	http://www.freestuff.eu/prizes/win-sony-playstation-4.php	C:/My%20Web%20Sites/ps4/www.freestuff.eu/prizes/win-sony-playstation-4.html	(from )
13:29:02	135968/135968	---M-Z	200	added ('OK')	text/css	etag:%22241e40-21320-54bdf4855333e%22	http://www.freestuff.eu/css/bootstrap.min.css	C:/My%20Web%20Sites/ps4/www.freestuff.eu/css/bootstrap.min.css	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:02	9743/9743	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2031%20Jul%202017%2013:39:22%20GMT	http://rum-static.pingdom.net/prum.min.js	C:/My%20Web%20Sites/ps4/rum-static.pingdom.net/prum.min.js	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:03	37095/37095	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Aug%202017%2005:28:40%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/ps4/connect.facebook.net/en_US/fbevents.js	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:03	339/339	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Aug%202017%2005:28:41%20GMT	http://freestuff.eu/images/sony-playstation-4.jpg	C:/My%20Web%20Sites/ps4/freestuff.eu/images/sony-playstation-4.5.delayed	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:05	1991/1991	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202017%2005:28:42%20GMT	http://www.freestuff.eu/prizes/terms/May-2017B/prize-policy.php	C:/My%20Web%20Sites/ps4/www.freestuff.eu/prizes/terms/May-2017B/prize-policy.html	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:05	43969/43969	---M--	200	added ('OK')	image/jpeg	etag:%221e2988-abc1-53a1bd544737c%22	http://www.freestuff.eu/images/sony-playstation-4.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/sony-playstation-4.jpg	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:06	32410/32410	---MC-	200	added ('OK')	text/javascript	date:Tue,%2001%20Aug%202017%2003:25:32%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/ps4/www.google-analytics.com/analytics.js	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:07	13744/13744	---MC-	200	added ('OK')	text/javascript	date:Sun,%2013%20Aug%202017%2005:28:44%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/My%20Web%20Sites/ps4/www.googleadservices.com/pagead/f.txt	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:08	8347/8347	---M--	200	added ('OK')	application/x-javascript	etag:%22db37e32391ebb5ce23229e9a14a36f3e%22	http://scripts.sophus3.com/s3s/freestuff/logging.js	C:/My%20Web%20Sites/ps4/scripts.sophus3.com/s3s/freestuff/logging.js	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:15	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/ps4/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:16	45433/45433	---M--	200	added ('OK')	image/jpeg	etag:%221e0ae5-b179-4f4e91170b900%22	http://www.freestuff.eu/images/samsungtv-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/samsungtv-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:16	35139/35139	---M--	200	added ('OK')	image/jpeg	etag:%221e0983-8943-4f4f54c4b22c0%22	http://www.freestuff.eu/images/casino-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/casino-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:17	50053/50053	---M--	200	added ('OK')	image/jpeg	etag:%221e0dbd-c385-4f4e91a153f40%22	http://www.freestuff.eu/images/asos-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/asos-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:19	36635/36635	---M--	200	added ('OK')	image/jpeg	etag:%221e1012-8f1b-4f4e8fb447400%22	http://www.freestuff.eu/images/iphone5s-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/iphone5s-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:20	25558/25558	---M--	200	added ('OK')	image/jpeg	etag:%221e093c-63d6-4f4f5435a5140%22	http://www.freestuff.eu/images/starbucks-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/starbucks-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:21	22044/22044	---M--	200	added ('OK')	image/jpeg	etag:%221e0afc-561c-4f4f535a4cbc0%22	http://www.freestuff.eu/images/xbox-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/xbox-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:22	3180/3180	---M--	200	added ('OK')	image/png	etag:%221e0f70-c6c-4f2206f002b80%22	http://www.freestuff.eu/images/login-sprite.png	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/login-sprite.png	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:23	34462/34462	---M--	200	added ('OK')	image/jpeg	etag:%221e0c9c-869e-4f4f55b411780%22	http://www.freestuff.eu/images/energy-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/energy-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:23	4458/4458	---M--	200	added ('OK')	image/png	etag:%221e0acf-116a-4f2206f002b80%22	http://www.freestuff.eu/images/social-sprite.png	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/social-sprite.png	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:23	20313/20313	---M--	200	added ('OK')	image/jpeg	etag:%221e0a92-4f59-4f4f557708780%22	http://www.freestuff.eu/images/icandy-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/icandy-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:23	29118/29118	---M--	200	added ('OK')	image/jpeg	etag:%221e0fee-71be-4f4f59f0655c0%22	http://www.freestuff.eu/images/cruise-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/cruise-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:24	22911/22911	---M--	200	added ('OK')	image/jpeg	etag:%221e0add-597f-4f2206f002b80%22	http://www.freestuff.eu/images/sign-up-button.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/sign-up-button.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:25	1006/1006	---M--	200	added ('OK')	image/png	etag:%221e44a2-3ee-54760eb25d720%22	http://www.freestuff.eu/images/header-icons.png	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/header-icons.png	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:26	43/43	---MCZ	200	added ('OK')	image/gif	date:Sun,%2013%20Aug%202017%2005:29:04%20GMT	http://rum-collector.pingdom.net/img/beacon.gif	C:/My%20Web%20Sites/ps4/rum-collector.pingdom.net/img/beacon.gif	(from http://rum-static.pingdom.net/prum.min.js)
13:29:26	298/298	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Aug%202017%2005:29:04%20GMT	http://www.freestuff.eu/prizes/s3optout.js	C:/My%20Web%20Sites/ps4/www.freestuff.eu/prizes/s3optout.29.delayed	(from http://scripts.sophus3.com/s3s/freestuff/logging.js)
13:29:26	1132/1132	---M--	200	added ('OK')	image/png	etag:%221e3872-46c-5305f84da7a36%22	http://www.freestuff.eu/images/FreeStuff-Logo.png	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/FreeStuff-Logo.png	(from http://www.freestuff.eu/prizes/win-sony-playstation-4.php)
13:29:28	25343/25343	---M--	200	added ('OK')	image/jpeg	etag:%221e0a74-62ff-4f545ebf393c0%22	http://www.freestuff.eu/images/amazon-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/amazon-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:30	3449/3449	---M--	200	added ('OK')	image/png	etag:%221e0c97-d79-4f2206f002b80%22	http://www.freestuff.eu/images/navigation-sprite.png	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/navigation-sprite.png	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:32	38604/38604	---M--	200	added ('OK')	image/jpeg	etag:%221e09de-96cc-4f4e934c92f40%22	http://www.freestuff.eu/images/ikea-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/ikea-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:32	30182/30182	---M--	200	added ('OK')	image/jpeg	etag:%221e0cdb-75e6-4f4f57b70d680%22	http://www.freestuff.eu/images/credit-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/credit-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:32	34831/34831	---M--	200	added ('OK')	image/jpeg	etag:%221e0ea0-880f-4f4f5b9032ac0%22	http://www.freestuff.eu/images/gym-thumb.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/gym-thumb.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:33	21039/21039	---M--	200	added ('OK')	image/jpeg	etag:%221e09d9-522f-4f22403d6dd00%22	http://www.freestuff.eu/images/free-button.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/free-button.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:33	1935/1935	---M--	200	added ('OK')	image/png	etag:%221e37e9-78f-51e48854de325%22	http://www.freestuff.eu/images/fb.png	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/fb.png	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:33	218/218	---M--	200	added ('OK')	image/png	etag:%221e44b3-da-547617f8d0a22%22	http://www.freestuff.eu/images/Hamburger.png	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/Hamburger.png	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:34	1885/1885	---M--	200	added ('OK')	image/png	etag:%221e0bc5-75d-4f3b5f7b05040%22	http://www.freestuff.eu/images/footer-sprite.png	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/footer-sprite.png	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:35	37046/37046	---M--	200	added ('OK')	image/jpeg	etag:%22200b83-90b6-51bb00e400c15%22	http://www.freestuff.eu/images/prize-thumbs/spotify-gift-card.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/prize-thumbs/spotify-gift-card.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:35	12973/12973	---M--	200	added ('OK')	image/jpeg	etag:%221e0ad4-32ad-4f23846c13480%22	http://www.freestuff.eu/images/search-logo.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/search-logo.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
13:29:35	18252/18252	---M--	200	added ('OK')	image/jpeg	etag:%221e0eaf-474c-4f23478ef1c00%22	http://www.freestuff.eu/images/search-button.jpg	C:/My%20Web%20Sites/ps4/www.freestuff.eu/images/search-button.jpg	(from http://www.freestuff.eu/css/bootstrap.min.css)
